commit_type,claude_code,codex,cursor,multi agent,no signal
build,58.2,0.7,0.0,0.7,40.4
chore,75.4,0.2,0.0,1.0,23.4
ci,58.6,0.3,0.0,0.0,41.1
docs,71.5,1.2,0.0,7.9,19.3
feat,88.9,0.1,0.0,1.3,9.6
fix,80.0,0.1,0.0,0.5,19.4
perf,71.1,0.2,0.0,0.2,28.5
refactor,83.7,0.2,0.0,1.0,15.1
revert,43.8,0.0,0.0,0.0,56.3
style,87.1,0.0,0.0,0.1,12.8
test,80.4,0.0,0.0,0.3,19.3
unknown,28.4,0.5,0.0,0.7,70.5
total,73.8,0.2,0.0,1.1,24.9
