commit_type,claude_code,codex,multi agent,no signal,opencode
build,0,7.7,0,92.3,0
chore,3.8,1.3,0,94.9,0
ci,0,2.1,0,97.9,0
docs,0,19,0,81,0
feat,0.9,3.7,0,95.4,0
fix,0,2.9,0,97.1,0
perf,0,0,0,100,0
refactor,4.2,0,4.2,91.7,0
revert,0,0,0,100,0
style,0,0,0,100,0
test,0,0,0,100,0
unknown,0.2,1.9,0.6,97.1,0.2
total,0.7,3,0.4,95.8,0.1
