commit_type,amp,claude_code,codex,cursor,gemini,multi agent,no signal,qwen_code,windsurf
build,0,3,12,0,0,2,468,0,0
chore,5,3,109,4,2,13,3102,1,0
ci,6,2,3,0,0,0,1046,0,0
docs,30,8,399,0,1,21,3670,6,0
feat,24,13,64,1,2,9,2805,2,0
fix,16,12,96,2,3,11,9096,2,0
perf,1,0,5,0,0,1,971,0,0
refactor,5,3,25,0,1,6,4714,0,0
revert,0,0,1,0,0,0,44,0,0
style,1,1,0,0,0,1,686,0,0
test,0,1,17,0,0,0,5931,0,0
unknown,1,4,31,2,2,1,1663,0,1
total,89,50,762,9,11,65,34196,11,1
