commit_type,amp,claude_code,codex,copilot,gastown,multi agent,no signal,opencode
build,0,2,0,0,0,1,4,0
chore,6,307,27,2,6,36,1342,0
ci,0,7,0,0,2,0,3,0
docs,3,263,0,0,4,21,43,0
feat,40,1238,2,0,12,106,166,1
fix,22,1856,0,0,43,325,291,0
perf,0,27,0,0,0,4,2,0
refactor,3,220,1,1,1,58,22,0
revert,0,5,1,0,1,4,11,0
style,0,3,0,0,0,3,1,0
test,1,81,0,0,0,11,3,0
unknown,11,238,1,0,28,13,2428,0
total,86,4247,32,3,97,582,4316,1
