commit_type,amp,claude_code,codex,gemini,multi agent,no signal,opencode
build,0,13,1,0,0,93,0
chore,1,88,9,3,2,253,4
ci,1,1,0,0,0,1,0
docs,0,167,3,0,2,201,3
feat,1,929,7,1,10,682,7
fix,1,491,1,0,6,676,10
perf,0,7,0,0,0,6,0
refactor,1,87,5,2,7,107,4
revert,0,3,1,0,3,23,0
style,0,19,0,0,0,25,0
test,0,66,1,0,0,61,1
unknown,4,280,5,1,5,411,0
total,9,2151,33,7,35,2539,29
