commit_type,amp,claude_code,codex,gemini,multi agent,no signal,pi
build,3,20,5,1,1,144,2
chore,3,99,7,0,10,236,2
ci,0,0,0,0,0,2,0
docs,0,55,3,0,3,52,1
feat,0,278,20,1,10,330,5
fix,0,129,0,0,0,220,3
perf,0,5,1,0,0,14,0
refactor,0,134,10,1,24,219,2
revert,0,3,0,0,0,0,0
style,0,4,0,0,0,6,0
test,0,0,0,0,0,0,0
unknown,7,365,37,1,15,718,20
total,13,1092,83,4,63,1941,35
