commit_type,amp,claude_code,codex,multi agent,no signal
build,0.0,91.7,0.0,0.0,8.3
chore,0.0,88.7,0.0,2.0,9.2
ci,0.0,65.2,0.0,0.0,34.8
docs,0.0,85.6,0.0,0.6,13.8
feat,0.2,81.4,0.0,2.2,16.1
fix,0.0,75.8,0.0,0.9,23.3
perf,0.0,87.5,0.0,0.0,12.5
refactor,0.0,66.7,0.0,6.7,26.7
revert,0.0,0.0,0.0,0.0,100.0
style,0.0,100.0,0.0,0.0,0.0
test,0.0,61.1,0.0,0.0,38.9
unknown,0.0,89.2,0.1,1.2,9.5
total,0.0,85.7,0.0,1.6,12.7
