commit_type,claude_code,cursor,no signal,opencode
build,0.0,0.0,100.0,0.0
chore,0.7,0.0,99.3,0.0
ci,0.0,0.0,100.0,0.0
docs,1.7,0.0,98.3,0.0
feat,0.4,0.0,99.6,0.0
fix,0.6,0.0,99.4,0.0
perf,0.6,0.0,99.4,0.0
refactor,0.2,0.0,99.8,0.0
revert,2.4,0.0,97.6,0.0
style,0.0,0.0,100.0,0.0
test,0.0,0.0,100.0,0.0
unknown,1.5,0.2,98.3,0.0
total,0.6,0.0,99.3,0.0
