commit_type,amp,claude_code,codex,copilot,multi agent,no signal
build,0.0,50.0,0.0,0.0,0.0,50.0
chore,0.6,8.9,0.0,3.3,0.0,87.2
ci,0.0,15.2,0.0,0.0,0.0,84.8
docs,1.5,19.7,0.0,3.0,0.0,75.8
feat,0.7,23.0,0.0,3.0,0.9,72.4
fix,0.1,22.1,0.0,0.6,0.5,76.8
perf,0.0,20.0,0.0,0.0,0.0,80.0
refactor,0.0,10.4,0.0,0.0,2.6,87.0
revert,0.0,0.0,0.0,0.0,0.0,100.0
style,0.0,8.3,0.0,0.0,0.0,91.7
test,0.0,25.4,0.0,1.4,1.4,71.8
unknown,0.0,25.7,0.0,5.3,2.2,66.8
total,0.1,23.6,0.0,4.0,1.6,70.6
