week,commits_total,commits_with_agent_signal,agent_rate,amp_count,amp_pct,claude_code_count,claude_code_pct,codex_count,codex_pct,copilot_count,copilot_pct,cursor_count,cursor_pct,gastown_count,gastown_pct,gemini_count,gemini_pct,opencode_count,opencode_pct,pi_count,pi_pct,qwen_code_count,qwen_code_pct,windsurf_count,windsurf_pct,multi_agent_count,multi_agent_pct,no_signal_count,no_signal_pct
2025-09-08,1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025-09-15,2,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025-09-22,1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025-09-29,14,14,100.0,0,0.0,12,85.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,14.3,0,0.0
2025-10-06,66,6,9.1,3,4.5,3,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60,90.9
2025-10-13,103,14,13.6,2,1.9,12,11.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,89,86.4
2025-10-20,131,35,26.7,0,0.0,34,26.0,1,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,96,73.3
2025-10-27,96,10,10.4,0,0.0,7,7.3,3,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,86,89.6
2025-11-03,9,4,44.4,0,0.0,4,44.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,55.6
2025-11-10,57,56,98.2,0,0.0,55,96.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.8,1,1.8
2025-11-17,93,32,34.4,0,0.0,6,6.5,5,5.4,0,0.0,0,0.0,0,0.0,0,0.0,21,22.6,0,0.0,0,0.0,0,0.0,0,0.0,61,65.6
2025-11-24,108,30,27.8,0,0.0,18,16.7,11,10.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,78,72.2
2025-12-01,49,4,8.2,0,0.0,4,8.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,91.8
2025-12-08,84,3,3.6,0,0.0,3,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,96.4
2025-12-15,123,21,17.1,0,0.0,19,15.4,1,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8,102,82.9
2025-12-22,34,6,17.6,0,0.0,6,17.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,82.4
2025-12-29,82,1,1.2,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,98.8
2026-01-12,411,364,88.6,0,0.0,363,88.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,47,11.4
2026-01-19,28,28,100.0,0,0.0,23,82.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10.7,0,0.0,0,0.0,0,0.0,2,7.1,0,0.0
2026-01-26,63,5,7.9,0,0.0,4,6.3,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,58,92.1
2026-02-02,84,65,77.4,0,0.0,64,76.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2,19,22.6
2026-02-09,416,346,83.2,0,0.0,338,81.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7,70,16.8
2026-02-16,251,197,78.5,0,0.0,197,78.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54,21.5
2026-02-23,473,366,77.4,0,0.0,362,76.5,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,107,22.6
2026-03-02,425,212,49.9,0,0.0,207,48.7,5,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,213,50.1
2026-03-09,229,79,34.5,0,0.0,71,31.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.6,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,150,65.5
2026-03-16,326,139,42.6,0,0.0,132,40.5,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6,0,0.0,0,0.0,0,0.0,3,0.9,187,57.4
2026-03-23,345,119,34.5,0,0.0,109,31.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2.9,226,65.5
2026-03-30,116,67,57.8,0,0.0,64,55.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.7,0,0.0,0,0.0,0,0.0,1,0.9,49,42.2
2026-04-06,186,22,11.8,0,0.0,21,11.3,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,164,88.2
2026-04-13,87,7,8.0,4,4.6,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.3,80,92.0
2026-04-20,176,7,4.0,0,0.0,7,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,169,96.0
2026-04-27,134,1,0.7,0,0.0,0,0.0,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,133,99.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,473.0,366.0,100.0,4.0,4.6,363.0,100.0,11.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.6,21.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.3,226.0,99.3
mean,145.5,68.6,44.5,0.3,0.3,65.2,41.1,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,76.9,55.5
median,96.0,21.0,34.5,0.0,0.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,65.5
stddev,135.1,106.1,36.2,0.9,1.1,105.5,36.0,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,3.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.7,62.8,36.2
