agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
claude_code,100.0,0.0,50.0,0.0,0.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,16.7
codex,100.0,7.4,3.7,3.7,29.6,14.8,7.4,0.0,0.0,0.0,0.0,0.0,33.3
multi agent,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0
no signal,100.0,2.7,8.6,5.3,3.9,11.9,7.8,0.1,2.5,1.0,0.6,3.0,52.7
opencode,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
