agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
claude_code,100.0,0.2,16.6,0.4,3.8,29.5,24.3,1.7,4.6,0.0,1.4,12.1,5.4
codex,100.0,0.7,13.5,0.7,23.6,15.5,6.8,1.4,4.1,0.0,0.0,1.4,32.4
cursor,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
multi agent,100.0,0.1,15.2,0.0,29.0,28.6,11.0,0.4,3.6,0.0,0.1,3.4,8.6
no signal,100.0,0.3,15.3,0.9,3.1,9.5,17.4,2.0,2.5,0.2,0.6,8.6,39.6
