agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
amp,100.0,0.0,33.3,0.0,11.1,33.3,11.1,0.0,0.0,0.0,0.0,0.0,11.1
claude_code,100.0,0.0,2.3,0.3,0.6,4.9,16.8,0.1,0.4,0.0,0.0,0.9,73.6
codex,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
copilot,100.0,0.0,4.9,0.0,0.6,3.7,2.6,0.0,0.0,0.0,0.0,0.3,88.0
multi agent,100.0,0.0,0.0,0.0,0.0,2.8,5.6,0.0,1.4,0.0,0.0,0.7,89.4
no signal,100.0,0.0,7.4,0.6,0.8,5.2,19.6,0.1,1.1,0.1,0.2,0.8,64.0
