agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
amp,100.0,0.0,11.1,11.1,0.0,11.1,11.1,0.0,11.1,0.0,0.0,0.0,44.4
claude_code,100.0,0.6,4.1,0.0,7.8,43.2,22.8,0.3,4.0,0.1,0.9,3.1,13.0
codex,100.0,3.0,27.3,0.0,9.1,21.2,3.0,0.0,15.2,3.0,0.0,3.0,15.2
gemini,100.0,0.0,42.9,0.0,0.0,14.3,0.0,0.0,28.6,0.0,0.0,0.0,14.3
multi agent,100.0,0.0,5.7,0.0,5.7,28.6,17.1,0.0,20.0,8.6,0.0,0.0,14.3
no signal,100.0,3.7,10.0,0.0,7.9,26.9,26.6,0.2,4.2,0.9,1.0,2.4,16.2
opencode,100.0,0.0,13.8,0.0,10.3,24.1,34.5,0.0,13.8,0.0,0.0,3.4,0.0
