agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
amp,100.0,0.0,33.3,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude_code,100.0,0.2,45.1,0.3,10.7,13.1,10.6,0.4,0.2,0.0,0.2,0.2,18.9
codex,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
multi agent,100.0,0.0,55.6,0.0,4.0,19.2,7.1,0.0,1.0,0.0,0.0,0.0,13.1
no signal,100.0,0.1,31.6,1.0,11.6,17.6,22.1,0.4,0.5,0.5,0.0,0.9,13.6
