developer,commits,median_files,p95_files,median_modules,mean_modules,multi_module_share,focused_share,scattered_share,active_days,median_commits_per_day,median_daily_churn,p95_daily_churn,rho_commits_median_churn,rho_commits_daily_churn
steipete,35089,2.0,17.0,1.0,1.5576391461711647,0.3495682407592123,0.780102026276041,0.10043033429279831,173,188.0,41624.0,228760.00000000006,-0.05069628076564342,0.8220727013465784
Dicklesworthstone,70843,2.0,12.0,1.0,1.4381660855694987,0.3078215208277459,0.8610448456445944,0.061770393687449715,176,303.5,147294.5,1635197.75,0.1284894521450767,0.8197560062789272
ruvnet,5383,1.0,55.0,1.0,1.51328255619543,0.24205833178524985,0.7638863087497678,0.13914174252275682,141,15.0,53654.0,1128597.0,-0.41175344847302725,0.5287805224845226
obra,4419,2.0,11.0,1.0,1.6008146639511203,0.412989364109527,0.8395564607377235,0.05702647657841141,144,19.5,4091.0,63779.14999999998,0.239006788488655,0.8398941349019194
philipp-spiess,808,2.0,12.0,1.0,1.3329207920792079,0.23514851485148514,0.8428217821782178,0.06311881188118812,73,7.0,1596.0,7902.199999999991,-0.023542286645958154,0.7252744466881439
mavam,2685,2.0,20.0,1.0,1.566852886405959,0.33482309124767223,0.8003724394785847,0.10875232774674115,152,13.0,3084.0,23427.89999999999,-0.29858762952326773,0.6620644111060296
teamchong,7204,2.0,16.0,1.0,1.4672404219877846,0.3056635202665186,0.7977512493059411,0.08675735702387563,141,31.0,22408.0,251277.0,-0.3269485677810253,0.6200044226028081
clubanderson,8536,2.0,14.0,1.0,1.1959934395501406,0.15288191190253045,0.8356373008434864,0.07251640112464855,143,46.0,12283.0,68674.30000000002,-0.060310172699719125,0.7074085542705345
steveyegge,9029,2.0,10.0,1.0,1.2553992690220401,0.16170118507032893,0.8902425517776055,0.04352641488536937,129,46.0,12096.0,122073.9999999999,-0.14548461375890173,0.8615527516199813
