developer,file_touches,distinct_files,touches_per_file,revisit_share,revisit_within_week,revisit_same_day,agent_state_touch_share,agent_state_churn_share
steipete,306352,92041,3.328429721537141,0.6995580247558364,0.6021667885308404,0.41423917585000264,0.0044360735363242285,0.001783989294244329
Dicklesworthstone,401553,147506,2.722282483424403,0.632661192918494,0.5188829369971087,0.3446518890407991,0.08582926786750442,0.10069259790418669
ruvnet,148263,66498,2.2295858522060814,0.551486210315453,0.46969911576050666,0.3437944733345474,0.12475128656509041,0.16356150133057784
obra,22189,6705,3.3093214019388517,0.6978232457523998,0.6253999729595746,0.4245346793456217,0.004687007075577989,0.0017492151915578672
philipp-spiess,2943,1034,2.846228239845261,0.6486578321440707,0.562351342167856,0.28372409106354063,0.010873258579680599,0.0023716919101411955
mavam,27807,13675,2.033418647166362,0.50821735534218,0.4131693458481677,0.2394720753767037,0.0189520624303233,0.00881716929532738
teamchong,46482,14754,3.150467669784465,0.6825868077965664,0.6135493309237985,0.3615162858741018,0.00027967815498472525,0.00048510558692974753
clubanderson,78906,31363,2.5158945253961673,0.6025270575114693,0.5408967632372697,0.4019719666438547,0.0016095100499328315,0.000269056549827921
steveyegge,30055,3570,8.418767507002801,0.8812177674263849,0.7675262019630678,0.41989685576443186,0.15431708534353686,0.5174573768675531
